GLC_C1	14	6	 # 6-atom sugar ring
GLC_C2	14	6	  # 6-atom sugar ring
GLC_C3	14	6	  # 6-atom sugar ring
GLC_C4	14	6	  # 6-atom sugar ring
GLC_C5	14	6	  # 6-atom sugar ring
GLC_O5	14	6	  # 6-atom sugar ring
GLC_O	15	1	 # Oxygen
GLC_O1	15	1	  # Oxygen
GLC_O2	15	1	  # Oxygen
GLC_O3	15	1	  # Oxygen
GLC_O4	15	1	  # Oxygen
GLC_C6	16	2	  # C-O
GLC_O6	16	2	  # C-O

Glc_C1	14	 6	  # 6-atom sugar ring
Glc_C2	14	 6	  # 6-atom sugar ring
Glc_C3	14	 6	  # 6-atom sugar ring
Glc_C4	14	 6	  # 6-atom sugar ring
Glc_C5	14	 6	  # 6-atom sugar ring
Glc_O5	14	 6	  # 6-atom sugar ring
Glc_O	15	 1	  # Oxygen
Glc_O1	15	 1	  # Oxygen
Glc_O2	15	 1	  # Oxygen
Glc_O3	15	 1	  # Oxygen
Glc_O4	15	 1	  # Oxygen
Glc_C6	16	 2	  # C-O
Glc_O6	16	 2	  # C-O

BGC_C1	14	 6	  # 6-atom sugar ring
BGC_C2	14	 6	  # 6-atom sugar ring
BGC_C3	14	 6	  # 6-atom sugar ring
BGC_C4	14	 6	  # 6-atom sugar ring
BGC_C5	14	 6	  # 6-atom sugar ring
BGC_O5	14	 6	  # 6-atom sugar ring
BGC_O	15	 1	
BGC_O1	15	 1	  # Oxygen
BGC_O2	15	 1	  # Oxygen
BGC_O3	15	 1	  # Oxygen
BGC_O4	15	 1	  # Oxygen
BGC_C6	16	 2	  # C-O
BGC_O6	16	 2	  # C-O

GAL_C1	14	 6	  # 6-atom sugar ring
GAL_C2	14	 6	  # 6-atom sugar ring
GAL_C3	14	 6	  # 6-atom sugar ring
GAL_C4	14	 6	  # 6-atom sugar ring
GAL_C5	14	 6	  # 6-atom sugar ring
GAL_O5	14	 6	  # 6-atom sugar ring
GAL_O	15	 1	
GAL_O1	15	 1	  # Oxygen
GAL_O2	15	 1	  # Oxygen
GAL_O3	15	 1	  # Oxygen
GAL_O4	15	 1	  # Oxygen
GAL_C6	16	 2	  # C-O
GAL_O6	16	 2	  # C-O

NAG_C1	14	 6	 # 6-atom sugar ring
NAG_C2	14	 6	 # 6-atom sugar ring
NAG_C3	14	 6	 # 6-atom sugar ring
NAG_C4	14	 6	 # 6-atom sugar ring
NAG_C5	14	 6	 # 6-atom sugar ring
NAG_O5	14	 6	 # 6-atom sugar ring
NAG_O3	15	 1	  # Oxygen
NAG_O4	15	 1	  # Oxygen
NAG_O1	15	 1	  # Oxygen
NAG_O	15	 1	  # Oxygen
NAG_C6	16	 2	 # C-O
NAG_O6	16	 2	 # C-O
NAG_C7	17	4	 # amide
NAG_C8	17	4	 # amide
NAG_N2	17	4	 # amide
NAG_O7	17	4	 # amide

BDP_C1 	14	 6	 # 6-atom sugar ring
BDP_C2 	14	 6	 # 6-atom sugar ring
BDP_C3 	14	 6	 # 6-atom sugar ring
BDP_C4 	14	 6	 # 6-atom sugar ring
BDP_O5	14	 6	  # 6-atom sugar ring
BDP_C5 	14	 6	 # 6-atom sugar ring
BDP_O	15	 1	  # Oxygen
BDP_O1	15	 1	  # Oxygen
BDP_O2	15	 1	  # Oxygen
